x,y,Width,Height,Var,ContrastMichelson,Entropy,IsSplit
64,88,4,8,150.062,0.0891089,3.20675,0
68,88,4,8,115.124,0.0730838,3.14113,0
96,112,8,16,28462.1,0.516899,6.0906,0
104,112,8,16,6194.36,0.244847,5.48266,0
80,0,16,16,4423.46,0.255526,5.55434,0
80,16,16,16,2395.11,0.275449,5.2711,0
64,64,8,8,518.99,0.161189,4.11648,0
88,64,4,32,6909.56,0.455526,5.6876,0
92,64,4,32,770.369,0.146465,4.53054,0
64,72,8,16,92.5756,0.103074,3.18196,0
96,96,8,16,8105.36,0.425573,5.65537,0
104,96,16,16,16276.7,0.503817,6.49968,0
120,96,8,16,1914.38,0.263456,5.12447,0
64,112,16,16,1041.11,0.285962,4.85555,0
80,112,16,16,1999.23,0.314286,5.17645,0
112,112,16,16,6204.7,0.366667,5.73657,0
64,0,16,32,2743.51,0.287611,5.53283,0
72,64,16,32,5365.07,0.668896,5.75152,0
64,96,32,16,1765.34,0.31962,5.21219,0
96,0,32,32,8164.17,0.613161,6.23889,0
64,32,32,32,4813.81,0.454756,5.9799,0
96,32,32,32,11145.8,0.398853,6.26534,0
96,64,32,32,20883.6,0.442424,6.71979,0
64,88,8,8,301.187,0.118644,3.807,1
96,112,16,16,19689.6,0.516899,6.43031,1
80,0,16,32,4534.55,0.323392,5.77135,1
64,64,8,32,396.27,0.198708,4.02946,1
88,64,8,32,3859.14,0.455526,5.57757,1
96,96,32,16,15520.8,0.503817,6.55441,1
64,112,32,16,1743.18,0.402032,5.22507,1
96,112,32,16,19256.8,0.516899,6.63693,1
64,0,32,32,4150.04,0.375969,5.80612,1
64,64,32,32,6476.85,0.690141,6.03055,1
64,96,32,32,1818.37,0.402032,5.31407,1
96,96,32,32,17395.9,0.528613,6.7606,1
184,4,4,8,547.569,0.324675,3.60222,0
188,4,4,8,3474.05,0.533123,3.92923,0
208,0,4,8,3209.46,0.538462,4.47641,0
212,0,8,8,835.327,0.555556,3.65115,0
